0 1 2 3 4 5 6 7 8 9 
1 6.70 6.70 7.15 7.30 7.45 7.60 7.85 8.45 10.60 
2 7.25 7.25 7.70 8.75 9.85 10.65 11.80 12.90 16.85 
3 7.90 7.90 8.80 10.15 11.75 13.35 14.65 17.30 22.55 
4 8.50 8.50 9.90 11.15 13.50 16.45 18.00 20.05 26.15 
5 9.85 9.85 10.95 11.95 14.15 18.70 20.65 23.15 30.25 
6 10.40 10.40 11.30 12.50 15.10 20.80 22.40 25.25 34.15 
7 11.10 11.10 12.15 14.30 18.05 23.05 25.15 28.45 38.40 
8 11.45 11.45 13.50 15.90 20.95 25.25 27.80 31.80 42.95 
9 11.90 11.90 14.55 17.60 23.90 27.50 30.05 35.40 47.80 
10 12.65 12.65 15.60 18.95 25.95 29.70 33.05 38.60 52.10 
11 13.50 13.50 16.70 20.35 28.00 31.90 36.50 42.35 57.65 
12 14.70 14.70 17.90 21.85 30.00 34.70 39.45 45.45 61.85 
13 15.55 15.55 19.00 23.10 31.70 37.25 41.05 47.10 64.10 
14 16.50 16.50 20.20 24.55 33.70 39.30 43.35 49.45 67.30 
15 17.20 17.20 21.30 25.95 35.65 41.00 44.30 50.80 69.20 
16 17.70 17.70 22.45 27.35 37.65 43.30 46.75 53.65 73.00 
17 18.50 18.50 23.65 28.80 39.60 45.50 49.25 56.45 76.85 
18 18.85 18.85 24.50 30.00 41.55 47.90 51.65 59.35 80.80 
19 19.35 19.35 25.05 30.70 42.70 48.85 52.75 60.60 84.60 
20 20.20 20.20 25.35 31.15 43.40 50.00 54.65 63.40 88.50 
21 20.85 20.85 25.70 31.60 44.05 50.85 55.55 64.85 91.25 
22 21.35 21.35 26.30 32.35 45.10 52.00 56.90 66.40 93.50 
23 21.85 21.85 26.80 32.90 45.85 52.95 58.00 67.60 95.15 
24 22.35 22.35 27.35 33.65 46.85 54.05 59.45 69.25 97.50 
25 22.55 22.55 27.85 35.00 47.65 54.75 60.95 70.40 99.10 
26 23.50 23.50 28.35 36.35 48.60 56.10 62.45 72.65 102.25 
27 24.20 24.20 28.75 37.45 49.55 56.90 63.90 75.35 106.10 
28 24.95 24.95 29.15 38.55 50.80 57.65 65.35 78.20 110.10 
29 25.70 25.70 29.45 39.50 51.55 58.65 66.85 80.30 113.05 
30 26.45 26.45 29.85 40.45 52.25 60.25 68.40 82.05 115.50 
31 27.25 27.25 30.15 41.10 52.95 61.15 69.85 83.70 118.80 
32 27.55 27.55 30.80 41.80 53.55 61.95 71.35 85.40 121.20 
33 28.00 28.00 31.65 42.85 54.25 63.15 72.85 87.00 123.50 
34 28.25 28.25 32.50 43.90 55.40 64.60 74.35 88.65 125.80 
35 28.55 28.55 33.30 44.50 56.60 66.35 75.80 90.10 127.90 
36 28.85 28.85 34.20 45.10 57.80 68.05 76.85 91.70 130.10 
37 29.15 29.15 34.85 45.75 58.85 69.80 77.85 93.20 132.25 
38 29.45 29.45 35.70 46.35 60.00 71.75 78.80 94.70 134.40 
39 29.75 29.75 36.50 46.90 61.25 73.50 80.80 96.10 136.40 
40 30.10 30.10 37.30 47.55 62.55 74.65 82.65 97.45 138.30
41 30.40 30.40 38.00 48.05 63.15 75.85 84.40 98.85 141.40 
42 30.65 30.65 38.70 48.60 64.50 77.20 85.50 100.20 143.35 
43 31.00 31.00 39.30 49.05 65.95 79.10 86.60 101.45 145.15 
44 31.20 31.20 39.95 49.65 67.30 80.35 87.60 102.65 146.90 
45 31.40 31.40 40.40 50.00 68.85 81.20 88.60 103.95 148.75 
46 31.65 31.65 40.70 50.55 70.10 82.10 89.55 105.20 150.55 
47 31.95 31.95 41.05 51.00 71.70 83.00 90.55 106.35 152.15 
48 32.20 32.20 41.40 51.50 73.10 84.10 91.40 107.50 153.80 
49 32.40 32.40 41.70 51.90 74.45 85.20 92.35 108.60 155.35 
50 32.55 32.55 41.95 52.25 75.90 86.35 93.55 109.70 156.95 
51 32.70 32.70 42.35 52.75 77.15 87.55 94.90 110.70 159.65 
52 33.10 33.10 42.60 53.10 77.80 88.45 96.30 112.00 161.60 
53 33.65 33.65 42.90 53.45 78.40 89.20 97.85 113.45 163.70 
54 34.10 34.10 43.10 53.80 79.05 89.85 99.30 115.10 165.95 
55 34.70 34.70 43.40 54.10 79.60 90.55 100.85 116.60 168.20 
56 35.15 35.15 43.65 54.40 80.15 91.15 102.30 117.70 169.75 
57 35.65 35.65 43.80 54.75 80.60 91.85 103.85 118.55 171.00 
58 36.25 36.25 44.00 55.05 81.15 92.35 105.25 119.45 172.25 
59 36.80 36.80 44.20 55.35 81.65 92.90 105.90 120.40 173.65 
60 37.30 37.30 44.40 55.90 82.05 93.40 106.55 121.15 174.80 
61 37.85 37.85 44.60 56.90 82.45 93.90 107.15 122.80 177.20 
62 38.25 38.25 44.70 57.60 82.90 94.40 107.65 124.80 180.00 
63 39.00 39.00 44.95 58.55 83.30 94.90 108.15 126.80 182.90 
64 39.35 39.35 45.05 59.40 83.65 95.25 108.70 128.70 185.65 
65 39.90 39.90 45.15 60.20 83.95 95.60 109.20 130.75 188.60 
66 40.40 40.40 45.35 61.15 84.35 96.05 109.55 132.60 191.30 
67 41.05 41.05 45.45 62.20 84.65 96.35 110.00 134.35 193.80 
68 41.55 41.55 45.55 63.00 84.85 97.55 110.40 135.80 195.90 
69 42.10 42.10 45.60 63.75 85.05 98.75 110.70 137.25 197.95 
70 42.55 42.55 45.70 64.80 85.35 99.95 111.10 138.75 200.10
