zip	type	primary_city	state	latitude	longitude
00501	UNIQUE	Holtsville	NY	40.81	-73.04
00544	UNIQUE	Holtsville	NY	40.81	-73.04
00601	STANDARD	Adjuntas	PR	18.16	-66.72
00602	STANDARD	Aguada	PR	18.38	-67.18
00603	STANDARD	Aguadilla	PR	18.43	-67.15
00604	PO BOX	Aguadilla	PR	18.43	-67.15
00605	PO BOX	Aguadilla	PR	18.43	-67.15
00606	STANDARD	Maricao	PR	18.18	-66.98
00610	STANDARD	Anasco	PR	18.28	-67.14
00611	PO BOX	Angeles	PR	18.28	-66.79
00612	STANDARD	Arecibo	PR	18.45	-66.73
00613	PO BOX	Arecibo	PR	18.45	-66.73
00614	PO BOX	Arecibo	PR	18.45	-66.73
00616	STANDARD	Bajadero	PR	18.42	-66.67
00617	STANDARD	Barceloneta	PR	18.45	-66.56
00622	STANDARD	Boqueron	PR	17.99	-67.15
00623	STANDARD	Cabo Rojo	PR	18.08	-67.14
00624	STANDARD	Penuelas	PR	18.06	-66.72
00627	STANDARD	Camuy	PR	18.48	-66.84
00631	PO BOX	Castaner	PR	18.19	-66.82
00636	PO BOX	Rosario	PR	18.15	-67.06
00637	STANDARD	Sabana Grande	PR	18.08	-66.96
00638	STANDARD	Ciales	PR	18.33	-66.47
00641	STANDARD	Utuado	PR	18.27	-66.7
00646	STANDARD	Dorado	PR	18.47	-66.27
00647	STANDARD	Ensenada	PR	17.96	-66.94
00650	STANDARD	Florida	PR	18.36	-66.56
00652	STANDARD	Garrochales	PR	18.45	-66.6
00653	STANDARD	Guanica	PR	17.99	-66.89
00656	STANDARD	Guayanilla	PR	18.02	-66.79
00659	STANDARD	Hatillo	PR	18.48	-66.82
00660	STANDARD	Hormigueros	PR	18.14	-67.12
00662	STANDARD	Isabela	PR	18.5	-67.02
00664	STANDARD	Jayuya	PR	18.22	-66.59
00667	STANDARD	Lajas	PR	18.04	-67.06
00669	STANDARD	Lares	PR	18.29	-66.88
00670	STANDARD	Las Marias	PR	18.27	-67.06
00674	STANDARD	Manati	PR	18.43	-66.48
00676	STANDARD	Moca	PR	18.39	-67.11
00677	STANDARD	Rincon	PR	18.34	-67.25
00678	STANDARD	Quebradillas	PR	18.47	-66.93
00680	STANDARD	Mayaguez	PR	18.2	-67.14
00681	PO BOX	Mayaguez	PR	18.2	-67.14
00682	STANDARD	Mayaguez	PR	18.22	-67.16
00683	STANDARD	San German	PR	18.08	-67.04
00685	STANDARD	San Sebastian	PR	18.33	-66.99
00687	STANDARD	Morovis	PR	18.32	-66.4
00688	STANDARD	Sabana Hoyos	PR	18.38	-66.62
00690	STANDARD	San Antonio	PR	18.49	-67.09
00692	STANDARD	Vega Alta	PR	18.41	-66.32
00693	STANDARD	Vega Baja	PR	18.44	-66.39
00694	PO BOX	Vega Baja	PR	18.48	-66.39
00698	STANDARD	Yauco	PR	18.03	-66.86
00703	STANDARD	Aguas Buenas	PR	18.25	-66.1
00704	STANDARD	Aguirre	PR	17.96	-66.22
00705	STANDARD	Aibonito	PR	18.14	-66.26
00707	STANDARD	Maunabo	PR	18	-65.9
00714	STANDARD	Arroyo	PR	17.97	-66.06
00715	STANDARD	Mercedita	PR	18.01	-66.56
00716	STANDARD	Ponce	PR	17.98	-66.6
00717	STANDARD	Ponce	PR	18	-66.61
00718	STANDARD	Naguabo	PR	18.21	-65.73
00719	STANDARD	Naranjito	PR	18.3	-66.24
00720	STANDARD	Orocovis	PR	18.22	-66.39
00721	PO BOX	Palmer	PR	18.37	-65.77
00723	STANDARD	Patillas	PR	18	-66.01
00725	STANDARD	Caguas	PR	18.23	-66.03
00726	PO BOX	Caguas	PR	18.23	-66.03
